class_name,subtype,source_path,output_path,augmentation,parameters_json
Foam-Heavy,root,Foam-Heavy/IMG_5507.png,Foam-Heavy/augmented/saturation/root/IMG_5507__saturation.jpg,saturation,"{""factor"": 1.0127}"
Foam-Heavy,root,Foam-Heavy/IMG_5507.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5507__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0195, ""shift_y_fraction"": -0.0113, ""zoom"": 1.0598}"
Foam-Heavy,root,Foam-Heavy/IMG_5508.png,Foam-Heavy/augmented/small_rotation/root/IMG_5508__small_rotation.jpg,small_rotation,"{""angle_degrees"": -7.1112}"
Foam-Heavy,root,Foam-Heavy/IMG_5508.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5508__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5508.png,Foam-Heavy/augmented/brightness/root/IMG_5508__brightness.jpg,brightness,"{""factor"": 1.1175}"
Foam-Heavy,root,Foam-Heavy/IMG_5508.png,Foam-Heavy/augmented/contrast/root/IMG_5508__contrast.jpg,contrast,"{""factor"": 1.1365}"
Foam-Heavy,root,Foam-Heavy/IMG_5508.png,Foam-Heavy/augmented/saturation/root/IMG_5508__saturation.jpg,saturation,"{""factor"": 0.964}"
Foam-Heavy,root,Foam-Heavy/IMG_5508.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5508__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0023, ""shift_y_fraction"": 0.0137, ""zoom"": 1.0683}"
Foam-Heavy,root,Foam-Heavy/IMG_5509.png,Foam-Heavy/augmented/small_rotation/root/IMG_5509__small_rotation.jpg,small_rotation,"{""angle_degrees"": 2.3721}"
Foam-Heavy,root,Foam-Heavy/IMG_5509.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5509__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5509.png,Foam-Heavy/augmented/brightness/root/IMG_5509__brightness.jpg,brightness,"{""factor"": 1.0099}"
Foam-Heavy,root,Foam-Heavy/IMG_5509.png,Foam-Heavy/augmented/contrast/root/IMG_5509__contrast.jpg,contrast,"{""factor"": 0.9824}"
Foam-Heavy,root,Foam-Heavy/IMG_5509.png,Foam-Heavy/augmented/saturation/root/IMG_5509__saturation.jpg,saturation,"{""factor"": 1.0322}"
Foam-Heavy,root,Foam-Heavy/IMG_5509.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5509__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0312, ""shift_y_fraction"": -0.0032, ""zoom"": 1.0146}"
Foam-Heavy,root,Foam-Heavy/IMG_5510.png,Foam-Heavy/augmented/small_rotation/root/IMG_5510__small_rotation.jpg,small_rotation,"{""angle_degrees"": 6.6401}"
Foam-Heavy,root,Foam-Heavy/IMG_5510.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5510__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5510.png,Foam-Heavy/augmented/brightness/root/IMG_5510__brightness.jpg,brightness,"{""factor"": 1.0277}"
Foam-Heavy,root,Foam-Heavy/IMG_5510.png,Foam-Heavy/augmented/contrast/root/IMG_5510__contrast.jpg,contrast,"{""factor"": 1.0493}"
Foam-Heavy,root,Foam-Heavy/IMG_5510.png,Foam-Heavy/augmented/saturation/root/IMG_5510__saturation.jpg,saturation,"{""factor"": 0.9718}"
Foam-Heavy,root,Foam-Heavy/IMG_5510.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5510__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0046, ""shift_y_fraction"": -0.0249, ""zoom"": 1.0587}"
Foam-Heavy,root,Foam-Heavy/IMG_5511.png,Foam-Heavy/augmented/small_rotation/root/IMG_5511__small_rotation.jpg,small_rotation,"{""angle_degrees"": 1.6736}"
Foam-Heavy,root,Foam-Heavy/IMG_5511.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5511__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5511.png,Foam-Heavy/augmented/brightness/root/IMG_5511__brightness.jpg,brightness,"{""factor"": 0.866}"
Foam-Heavy,root,Foam-Heavy/IMG_5511.png,Foam-Heavy/augmented/contrast/root/IMG_5511__contrast.jpg,contrast,"{""factor"": 1.1214}"
Foam-Heavy,root,Foam-Heavy/IMG_5511.png,Foam-Heavy/augmented/saturation/root/IMG_5511__saturation.jpg,saturation,"{""factor"": 0.9939}"
Foam-Heavy,root,Foam-Heavy/IMG_5511.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5511__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.033, ""shift_y_fraction"": 0.0022, ""zoom"": 1.0333}"
Foam-Heavy,root,Foam-Heavy/IMG_5512.png,Foam-Heavy/augmented/small_rotation/root/IMG_5512__small_rotation.jpg,small_rotation,"{""angle_degrees"": -3.5469}"
Foam-Heavy,root,Foam-Heavy/IMG_5512.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5512__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5512.png,Foam-Heavy/augmented/brightness/root/IMG_5512__brightness.jpg,brightness,"{""factor"": 0.9606}"
Foam-Heavy,root,Foam-Heavy/IMG_5512.png,Foam-Heavy/augmented/contrast/root/IMG_5512__contrast.jpg,contrast,"{""factor"": 1.0128}"
Foam-Heavy,root,Foam-Heavy/IMG_5512.png,Foam-Heavy/augmented/saturation/root/IMG_5512__saturation.jpg,saturation,"{""factor"": 1.0157}"
Foam-Heavy,root,Foam-Heavy/IMG_5512.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5512__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0159, ""shift_y_fraction"": -0.0014, ""zoom"": 1.0679}"
Foam-Heavy,root,Foam-Heavy/IMG_5513.png,Foam-Heavy/augmented/small_rotation/root/IMG_5513__small_rotation.jpg,small_rotation,"{""angle_degrees"": -0.3848}"
Foam-Heavy,root,Foam-Heavy/IMG_5513.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5513__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5513.png,Foam-Heavy/augmented/brightness/root/IMG_5513__brightness.jpg,brightness,"{""factor"": 1.059}"
Foam-Heavy,root,Foam-Heavy/IMG_5513.png,Foam-Heavy/augmented/contrast/root/IMG_5513__contrast.jpg,contrast,"{""factor"": 0.882}"
Foam-Heavy,root,Foam-Heavy/IMG_5513.png,Foam-Heavy/augmented/saturation/root/IMG_5513__saturation.jpg,saturation,"{""factor"": 1.0279}"
Foam-Heavy,root,Foam-Heavy/IMG_5513.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5513__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0097, ""shift_y_fraction"": 0.0186, ""zoom"": 1.0495}"
Foam-Heavy,root,Foam-Heavy/IMG_5514.png,Foam-Heavy/augmented/small_rotation/root/IMG_5514__small_rotation.jpg,small_rotation,"{""angle_degrees"": 3.5719}"
Foam-Heavy,root,Foam-Heavy/IMG_5514.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5514__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5514.png,Foam-Heavy/augmented/brightness/root/IMG_5514__brightness.jpg,brightness,"{""factor"": 0.9483}"
Foam-Heavy,root,Foam-Heavy/IMG_5514.png,Foam-Heavy/augmented/contrast/root/IMG_5514__contrast.jpg,contrast,"{""factor"": 1.1289}"
Foam-Heavy,root,Foam-Heavy/IMG_5514.png,Foam-Heavy/augmented/saturation/root/IMG_5514__saturation.jpg,saturation,"{""factor"": 1.0369}"
Foam-Heavy,root,Foam-Heavy/IMG_5514.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5514__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0102, ""shift_y_fraction"": 0.0306, ""zoom"": 1.0664}"
Foam-Heavy,root,Foam-Heavy/IMG_5516.png,Foam-Heavy/augmented/small_rotation/root/IMG_5516__small_rotation.jpg,small_rotation,"{""angle_degrees"": -0.5935}"
Foam-Heavy,root,Foam-Heavy/IMG_5516.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5516__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5516.png,Foam-Heavy/augmented/brightness/root/IMG_5516__brightness.jpg,brightness,"{""factor"": 0.9458}"
Foam-Heavy,root,Foam-Heavy/IMG_5516.png,Foam-Heavy/augmented/contrast/root/IMG_5516__contrast.jpg,contrast,"{""factor"": 0.8519}"
Foam-Heavy,root,Foam-Heavy/IMG_5516.png,Foam-Heavy/augmented/saturation/root/IMG_5516__saturation.jpg,saturation,"{""factor"": 0.99}"
Foam-Heavy,root,Foam-Heavy/IMG_5516.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5516__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0065, ""shift_y_fraction"": 0.0295, ""zoom"": 1.0554}"
Foam-Heavy,root,Foam-Heavy/IMG_5517.png,Foam-Heavy/augmented/small_rotation/root/IMG_5517__small_rotation.jpg,small_rotation,"{""angle_degrees"": -7.1209}"
Foam-Heavy,root,Foam-Heavy/IMG_5517.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5517__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5517.png,Foam-Heavy/augmented/brightness/root/IMG_5517__brightness.jpg,brightness,"{""factor"": 1.0617}"
Foam-Heavy,root,Foam-Heavy/IMG_5517.png,Foam-Heavy/augmented/contrast/root/IMG_5517__contrast.jpg,contrast,"{""factor"": 0.9675}"
Foam-Heavy,root,Foam-Heavy/IMG_5517.png,Foam-Heavy/augmented/saturation/root/IMG_5517__saturation.jpg,saturation,"{""factor"": 0.942}"
Foam-Heavy,root,Foam-Heavy/IMG_5517.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5517__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0107, ""shift_y_fraction"": 0.0277, ""zoom"": 1.0145}"
Foam-Heavy,root,Foam-Heavy/IMG_5518.png,Foam-Heavy/augmented/small_rotation/root/IMG_5518__small_rotation.jpg,small_rotation,"{""angle_degrees"": 5.9957}"
Foam-Heavy,root,Foam-Heavy/IMG_5518.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5518__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5518.png,Foam-Heavy/augmented/brightness/root/IMG_5518__brightness.jpg,brightness,"{""factor"": 0.9783}"
Foam-Heavy,root,Foam-Heavy/IMG_5518.png,Foam-Heavy/augmented/contrast/root/IMG_5518__contrast.jpg,contrast,"{""factor"": 0.89}"
Foam-Heavy,root,Foam-Heavy/IMG_5518.png,Foam-Heavy/augmented/saturation/root/IMG_5518__saturation.jpg,saturation,"{""factor"": 1.0496}"
Foam-Heavy,root,Foam-Heavy/IMG_5518.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5518__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0092, ""shift_y_fraction"": 0.0142, ""zoom"": 1.0369}"
Foam-Heavy,root,Foam-Heavy/IMG_5519.png,Foam-Heavy/augmented/small_rotation/root/IMG_5519__small_rotation.jpg,small_rotation,"{""angle_degrees"": 6.3617}"
Foam-Heavy,root,Foam-Heavy/IMG_5519.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5519__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5519.png,Foam-Heavy/augmented/brightness/root/IMG_5519__brightness.jpg,brightness,"{""factor"": 1.1273}"
Foam-Heavy,root,Foam-Heavy/IMG_5519.png,Foam-Heavy/augmented/contrast/root/IMG_5519__contrast.jpg,contrast,"{""factor"": 0.9214}"
Foam-Heavy,root,Foam-Heavy/IMG_5519.png,Foam-Heavy/augmented/saturation/root/IMG_5519__saturation.jpg,saturation,"{""factor"": 1.0015}"
Foam-Heavy,root,Foam-Heavy/IMG_5519.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5519__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0152, ""shift_y_fraction"": 0.0002, ""zoom"": 1.0782}"
Foam-Heavy,root,Foam-Heavy/IMG_5520.png,Foam-Heavy/augmented/small_rotation/root/IMG_5520__small_rotation.jpg,small_rotation,"{""angle_degrees"": 3.506}"
Foam-Heavy,root,Foam-Heavy/IMG_5520.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5520__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5520.png,Foam-Heavy/augmented/brightness/root/IMG_5520__brightness.jpg,brightness,"{""factor"": 0.89}"
Foam-Heavy,root,Foam-Heavy/IMG_5520.png,Foam-Heavy/augmented/contrast/root/IMG_5520__contrast.jpg,contrast,"{""factor"": 0.889}"
Foam-Heavy,root,Foam-Heavy/IMG_5520.png,Foam-Heavy/augmented/saturation/root/IMG_5520__saturation.jpg,saturation,"{""factor"": 0.9633}"
Foam-Heavy,root,Foam-Heavy/IMG_5520.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5520__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0014, ""shift_y_fraction"": -0.0343, ""zoom"": 1.0245}"
Foam-Heavy,root,Foam-Heavy/IMG_5521.png,Foam-Heavy/augmented/small_rotation/root/IMG_5521__small_rotation.jpg,small_rotation,"{""angle_degrees"": 3.1352}"
Foam-Heavy,root,Foam-Heavy/IMG_5521.png,Foam-Heavy/augmented/horizontal_flip/root/IMG_5521__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/IMG_5521.png,Foam-Heavy/augmented/brightness/root/IMG_5521__brightness.jpg,brightness,"{""factor"": 1.0849}"
Foam-Heavy,root,Foam-Heavy/IMG_5521.png,Foam-Heavy/augmented/contrast/root/IMG_5521__contrast.jpg,contrast,"{""factor"": 0.8631}"
Foam-Heavy,root,Foam-Heavy/IMG_5521.png,Foam-Heavy/augmented/saturation/root/IMG_5521__saturation.jpg,saturation,"{""factor"": 1.0473}"
Foam-Heavy,root,Foam-Heavy/IMG_5521.png,Foam-Heavy/augmented/zoom_translate/root/IMG_5521__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0334, ""shift_y_fraction"": -0.008, ""zoom"": 1.0218}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_38_52_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": -4.6957}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_38_52_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_38_52_Pro__brightness.jpg,brightness,"{""factor"": 1.099}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,Foam-Heavy/augmented/contrast/root/WIN_20260707_13_38_52_Pro__contrast.jpg,contrast,"{""factor"": 1.0408}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,Foam-Heavy/augmented/saturation/root/WIN_20260707_13_38_52_Pro__saturation.jpg,saturation,"{""factor"": 1.0799}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_38_52_Pro.jpg,Foam-Heavy/augmented/zoom_translate/root/WIN_20260707_13_38_52_Pro__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0109, ""shift_y_fraction"": -0.0155, ""zoom"": 1.0213}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_00_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_39_00_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": -6.8261}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_00_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_39_00_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_00_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_39_00_Pro__brightness.jpg,brightness,"{""factor"": 0.943}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_00_Pro.jpg,Foam-Heavy/augmented/contrast/root/WIN_20260707_13_39_00_Pro__contrast.jpg,contrast,"{""factor"": 0.877}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_00_Pro.jpg,Foam-Heavy/augmented/saturation/root/WIN_20260707_13_39_00_Pro__saturation.jpg,saturation,"{""factor"": 1.0829}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_00_Pro.jpg,Foam-Heavy/augmented/zoom_translate/root/WIN_20260707_13_39_00_Pro__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0236, ""shift_y_fraction"": -0.03, ""zoom"": 1.0403}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_39_56_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": 4.3742}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_39_56_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_39_56_Pro__brightness.jpg,brightness,"{""factor"": 1.1121}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/augmented/contrast/root/WIN_20260707_13_39_56_Pro__contrast.jpg,contrast,"{""factor"": 0.9197}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/augmented/saturation/root/WIN_20260707_13_39_56_Pro__saturation.jpg,saturation,"{""factor"": 1.0365}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_56_Pro.jpg,Foam-Heavy/augmented/zoom_translate/root/WIN_20260707_13_39_56_Pro__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0117, ""shift_y_fraction"": -0.0271, ""zoom"": 1.0491}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_58_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_39_58_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": 7.2795}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_58_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_39_58_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_58_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_39_58_Pro__brightness.jpg,brightness,"{""factor"": 0.9953}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_58_Pro.jpg,Foam-Heavy/augmented/contrast/root/WIN_20260707_13_39_58_Pro__contrast.jpg,contrast,"{""factor"": 1.0899}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_58_Pro.jpg,Foam-Heavy/augmented/saturation/root/WIN_20260707_13_39_58_Pro__saturation.jpg,saturation,"{""factor"": 0.9689}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_58_Pro.jpg,Foam-Heavy/augmented/zoom_translate/root/WIN_20260707_13_39_58_Pro__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0339, ""shift_y_fraction"": 0.0145, ""zoom"": 1.0342}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_59_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_39_59_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": -5.0911}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_59_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_39_59_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_59_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_39_59_Pro__brightness.jpg,brightness,"{""factor"": 1.0657}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_59_Pro.jpg,Foam-Heavy/augmented/contrast/root/WIN_20260707_13_39_59_Pro__contrast.jpg,contrast,"{""factor"": 1.1267}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_59_Pro.jpg,Foam-Heavy/augmented/saturation/root/WIN_20260707_13_39_59_Pro__saturation.jpg,saturation,"{""factor"": 1.0964}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_39_59_Pro.jpg,Foam-Heavy/augmented/zoom_translate/root/WIN_20260707_13_39_59_Pro__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0188, ""shift_y_fraction"": 0.0269, ""zoom"": 1.0556}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_01_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_40_01_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": -5.0091}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_01_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_40_01_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_01_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_40_01_Pro__brightness.jpg,brightness,"{""factor"": 1.0701}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_01_Pro.jpg,Foam-Heavy/augmented/contrast/root/WIN_20260707_13_40_01_Pro__contrast.jpg,contrast,"{""factor"": 0.9261}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_01_Pro.jpg,Foam-Heavy/augmented/saturation/root/WIN_20260707_13_40_01_Pro__saturation.jpg,saturation,"{""factor"": 1.0604}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_01_Pro.jpg,Foam-Heavy/augmented/zoom_translate/root/WIN_20260707_13_40_01_Pro__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": -0.0165, ""shift_y_fraction"": -0.0093, ""zoom"": 1.0004}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_40_03_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": -4.6984}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_40_03_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_40_03_Pro__brightness.jpg,brightness,"{""factor"": 1.0681}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,Foam-Heavy/augmented/contrast/root/WIN_20260707_13_40_03_Pro__contrast.jpg,contrast,"{""factor"": 1.05}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,Foam-Heavy/augmented/saturation/root/WIN_20260707_13_40_03_Pro__saturation.jpg,saturation,"{""factor"": 1.0898}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_03_Pro.jpg,Foam-Heavy/augmented/zoom_translate/root/WIN_20260707_13_40_03_Pro__zoom_translate.jpg,zoom_translate,"{""shift_x_fraction"": 0.0213, ""shift_y_fraction"": 0.0139, ""zoom"": 1.0644}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_05_Pro.jpg,Foam-Heavy/augmented/small_rotation/root/WIN_20260707_13_40_05_Pro__small_rotation.jpg,small_rotation,"{""angle_degrees"": 5.5335}"
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_05_Pro.jpg,Foam-Heavy/augmented/horizontal_flip/root/WIN_20260707_13_40_05_Pro__horizontal_flip.jpg,horizontal_flip,{}
Foam-Heavy,root,Foam-Heavy/WIN_20260707_13_40_05_Pro.jpg,Foam-Heavy/augmented/brightness/root/WIN_20260707_13_40_05_Pro__brightness.jpg,brightness,"{""factor"": 0.8615}"
